Класс;Код Клиента;Квартал
непостоянные приверженцы;1009268485;01.04.2017
активные приверженцы;1009268485;01.07.2017
непостоянные приверженцы;1009268485;01.10.2017
без предпочтений;1009517605;01.01.2016
активные приверженцы;1009517605;01.04.2016
без предпочтений;1009517605;01.07.2016
активные приверженцы;1009517605;01.10.2016
непостоянные приверженцы;1009517605;01.01.2017
непостоянные приверженцы;1009517605;01.04.2017
непостоянные приверженцы;1009517605;01.07.2017
активные приверженцы;1009517605;01.10.2017
без предпочтений;10096486669;01.01.2016
активные приверженцы;10096486669;01.04.2016
активные приверженцы;10096486669;01.07.2016
активные приверженцы;10096486669;01.10.2016
активные приверженцы;10096486669;01.01.2017
активные приверженцы;10096486669;01.04.2017
активные приверженцы;10096486669;01.07.2017
активные приверженцы;10096486669;01.10.2017
активные приверженцы;1010152895;01.01.2016
частичные приверженцы;1010152895;01.04.2016
активные приверженцы;1010152895;01.07.2016
активные приверженцы;1010152895;01.10.2016
непостоянные приверженцы;1010152895;01.01.2017
активные приверженцы;1010152895;01.04.2017
активные приверженцы;1010152895;01.07.2017
активные приверженцы;1010152895;01.10.2017
активные приверженцы;10103141429;01.01.2016
без предпочтений;10103141429;01.04.2016
активные приверженцы;10103141429;01.07.2016
активные приверженцы;10103141429;01.10.2016
активные приверженцы;10103141429;01.01.2017
активные приверженцы;10103141429;01.04.2017
непостоянные приверженцы;10103141429;01.07.2017
частичные приверженцы;10103141429;01.10.2017
активные приверженцы;10111475202;01.01.2016
непостоянные приверженцы;10111475202;01.04.2016
непостоянные приверженцы;10111475202;01.07.2016
активные приверженцы;10111475202;01.10.2016
активные приверженцы;10111475202;01.01.2017
без предпочтений;10111475202;01.04.2017
непостоянные приверженцы;10111475202;01.07.2017
активные приверженцы;10111475202;01.10.2017
без предпочтений;10113600074;01.01.2016
активные приверженцы;10113600074;01.04.2016
активные приверженцы;10113600074;01.07.2016
частичные приверженцы;10113600074;01.10.2016
без предпочтений;10113600074;01.01.2017
частичные приверженцы;10113600074;01.04.2017
непостоянные приверженцы;10113600074;01.07.2017
активные приверженцы;10113600074;01.10.2017
непостоянные приверженцы;10113746499;01.01.2016
без предпочтений;10113746499;01.04.2016
активные приверженцы;10113746499;01.07.2016
активные приверженцы;10113746499;01.10.2016
непостоянные приверженцы;10113746499;01.01.2017
частичные приверженцы;10113746499;01.04.2017
активные приверженцы;10113746499;01.07.2017
активные приверженцы;10113746499;01.10.2017
непостоянные приверженцы;10114032450;01.01.2016
активные приверженцы;10114032450;01.04.2016
активные приверженцы;10114032450;01.07.2016
активные приверженцы;10114032450;01.10.2016
активные приверженцы;10114032450;01.01.2017
активные приверженцы;10114032450;01.04.2017
активные приверженцы;10114032450;01.07.2017
активные приверженцы;10114032450;01.10.2017
непостоянные приверженцы;1011440438;01.01.2016
непостоянные приверженцы;1011440438;01.04.2016
непостоянные приверженцы;1011440438;01.07.2016
непостоянные приверженцы;1011440438;01.10.2016
активные приверженцы;1011440438;01.01.2017
непостоянные приверженцы;1011440438;01.04.2017
активные приверженцы;1011440438;01.07.2017
активные приверженцы;1011440438;01.10.2017
активные приверженцы;10118643545;01.01.2016
активные приверженцы;10118643545;01.04.2016
непостоянные приверженцы;10118643545;01.07.2016
частичные приверженцы;10118643545;01.10.2016
без предпочтений;10118643545;01.01.2017
активные приверженцы;10118643545;01.04.2017
активные приверженцы;10118643545;01.07.2017
непостоянные приверженцы;10118643545;01.10.2017
частичные приверженцы;10118680260;01.01.2016
активные приверженцы;10118680260;01.04.2016
частичные приверженцы;10118680260;01.07.2016
непостоянные приверженцы;10118680260;01.10.2016
непостоянные приверженцы;10118680260;01.01.2017
непостоянные приверженцы;10118680260;01.04.2017
непостоянные приверженцы;10118680260;01.07.2017
активные приверженцы;10118680260;01.10.2017
активные приверженцы;1012105307;01.01.2016
непостоянные приверженцы;1012105307;01.04.2016
непостоянные приверженцы;1012105307;01.07.2016
активные приверженцы;1012105307;01.10.2016
активные приверженцы;1012105307;01.01.2017
непостоянные приверженцы;1012105307;01.04.2017
активные приверженцы;1012105307;01.07.2017
частичные приверженцы;1012105307;01.10.2017
непостоянные приверженцы;10125674383;01.01.2016
частичные приверженцы;10125674383;01.04.2016
непостоянные приверженцы;10125674383;01.07.2016
непостоянные приверженцы;10125674383;01.10.2016
активные приверженцы;10125674383;01.01.2017
активные приверженцы;10125674383;01.04.2017
активные приверженцы;10125674383;01.07.2017
непостоянные приверженцы;10125674383;01.10.2017
активные приверженцы;1012760166;01.01.2016
активные приверженцы;1012760166;01.04.2016
активные приверженцы;1012760166;01.07.2016
непостоянные приверженцы;1012760166;01.10.2016
частичные приверженцы;1012760166;01.01.2017
активные приверженцы;1012760166;01.04.2017
частичные приверженцы;1012760166;01.07.2017
без предпочтений;1012760166;01.10.2017
без предпочтений;10130738909;01.01.2016
без предпочтений;10130738909;01.04.2016
непостоянные приверженцы;10130738909;01.07.2016
активные приверженцы;10130738909;01.10.2016
без предпочтений;10130738909;01.01.2017
активные приверженцы;10130738909;01.04.2017
без предпочтений;10130738909;01.07.2017
активные приверженцы;10130738909;01.10.2017
непостоянные приверженцы;10131624287;01.01.2016
частичные приверженцы;10131624287;01.04.2016
активные приверженцы;10131624287;01.07.2016
активные приверженцы;10131624287;01.10.2016
непостоянные приверженцы;10131624287;01.01.2017
активные приверженцы;10131624287;01.04.2017
активные приверженцы;10131624287;01.07.2017
активные приверженцы;10131624287;01.10.2017
непостоянные приверженцы;10139396699;01.01.2016
непостоянные приверженцы;10139396699;01.04.2016
частичные приверженцы;10139396699;01.07.2016
активные приверженцы;10139396699;01.10.2016
непостоянные приверженцы;10139396699;01.01.2017
непостоянные приверженцы;10139396699;01.04.2017
активные приверженцы;10139396699;01.07.2017
активные приверженцы;10139396699;01.10.2017
активные приверженцы;10141387778;01.01.2016
активные приверженцы;10141387778;01.04.2016
непостоянные приверженцы;10141387778;01.07.2016
активные приверженцы;10141387778;01.10.2016
без предпочтений;10141387778;01.01.2017
непостоянные приверженцы;10141387778;01.04.2017
непостоянные приверженцы;10141387778;01.07.2017
активные приверженцы;10141387778;01.10.2017
активные приверженцы;10142296072;01.01.2016
активные приверженцы;10142296072;01.04.2016
без предпочтений;10142296072;01.07.2016
частичные приверженцы;10142296072;01.10.2016
непостоянные приверженцы;10142296072;01.01.2017
непостоянные приверженцы;10142296072;01.04.2017
непостоянные приверженцы;10142296072;01.07.2017
непостоянные приверженцы;10142296072;01.10.2017
активные приверженцы;10142644441;01.01.2016
непостоянные приверженцы;10142644441;01.04.2016
непостоянные приверженцы;10142644441;01.07.2016
активные приверженцы;10142644441;01.10.2016
непостоянные приверженцы;10142644441;01.01.2017
активные приверженцы;10142644441;01.04.2017
непостоянные приверженцы;10142644441;01.07.2017
непостоянные приверженцы;10142644441;01.10.2017
активные приверженцы;10142791517;01.01.2016
без предпочтений;10142791517;01.04.2016
активные приверженцы;10142791517;01.07.2016
активные приверженцы;10142791517;01.10.2016
активные приверженцы;10142791517;01.01.2017
активные приверженцы;10142791517;01.04.2017
активные приверженцы;10142791517;01.07.2017
активные приверженцы;10142791517;01.10.2017
непостоянные приверженцы;1014449099;01.01.2016
непостоянные приверженцы;1014449099;01.04.2016
непостоянные приверженцы;1014449099;01.07.2016
активные приверженцы;1014449099;01.10.2016
активные приверженцы;1014449099;01.01.2017
без предпочтений;1014449099;01.04.2017
активные приверженцы;1014449099;01.07.2017
активные приверженцы;1014449099;01.10.2017
активные приверженцы;10145942470;01.01.2016
непостоянные приверженцы;10145942470;01.04.2016
активные приверженцы;10145942470;01.07.2016
непостоянные приверженцы;10145942470;01.10.2016
непостоянные приверженцы;10145942470;01.01.2017
активные приверженцы;10145942470;01.04.2017
без предпочтений;10145942470;01.07.2017
без предпочтений;10145942470;01.10.2017
частичные приверженцы;10148382009;01.01.2016
активные приверженцы;10148382009;01.04.2016
активные приверженцы;10148382009;01.07.2016
активные приверженцы;10148382009;01.10.2016
частичные приверженцы;10148382009;01.01.2017
активные приверженцы;10148382009;01.04.2017
активные приверженцы;10148382009;01.07.2017
непостоянные приверженцы;10148382009;01.10.2017
активные приверженцы;10148398803;01.01.2016
без предпочтений;10148398803;01.04.2016
непостоянные приверженцы;10148398803;01.07.2016
активные приверженцы;10148398803;01.10.2016
непостоянные приверженцы;10148398803;01.01.2017
непостоянные приверженцы;10148398803;01.04.2017
активные приверженцы;10148398803;01.07.2017
активные приверженцы;10148398803;01.10.2017
активные приверженцы;10157492325;01.01.2016
активные приверженцы;10157492325;01.04.2016
непостоянные приверженцы;10157492325;01.07.2016
активные приверженцы;10157492325;01.10.2016
активные приверженцы;10157492325;01.01.2017
непостоянные приверженцы;10157492325;01.04.2017
активные приверженцы;10157492325;01.07.2017
активные приверженцы;10157492325;01.10.2017
непостоянные приверженцы;10159816145;01.01.2016
активные приверженцы;10159816145;01.04.2016
непостоянные приверженцы;10159816145;01.07.2016
активные приверженцы;10159816145;01.10.2016
частичные приверженцы;10159816145;01.01.2017
непостоянные приверженцы;10159816145;01.04.2017
без предпочтений;10159816145;01.07.2017
непостоянные приверженцы;10159816145;01.10.2017
активные приверженцы;10164203372;01.01.2016
непостоянные приверженцы;10164203372;01.04.2016
непостоянные приверженцы;10164203372;01.07.2016
непостоянные приверженцы;10164203372;01.10.2016
без предпочтений;10164203372;01.01.2017
непостоянные приверженцы;10164203372;01.04.2017
активные приверженцы;10164203372;01.07.2017
непостоянные приверженцы;10164203372;01.10.2017
активные приверженцы;10164333943;01.01.2016
без предпочтений;10164333943;01.04.2016
непостоянные приверженцы;10164333943;01.07.2016
активные приверженцы;10164333943;01.10.2016
непостоянные приверженцы;10164333943;01.01.2017
активные приверженцы;10164333943;01.04.2017
активные приверженцы;10164333943;01.07.2017
активные приверженцы;10164333943;01.10.2017
непостоянные приверженцы;10166183877;01.01.2016
без предпочтений;10166183877;01.04.2016
активные приверженцы;10166183877;01.07.2016
активные приверженцы;10166183877;01.10.2016
активные приверженцы;10166183877;01.01.2017
активные приверженцы;10166183877;01.04.2017
активные приверженцы;10166183877;01.07.2017
непостоянные приверженцы;10166183877;01.10.2017
частичные приверженцы;10166353672;01.01.2016
активные приверженцы;10166353672;01.04.2016
непостоянные приверженцы;10166353672;01.07.2016
непостоянные приверженцы;10166353672;01.10.2016
непостоянные приверженцы;10166353672;01.01.2017
непостоянные приверженцы;10166353672;01.04.2017
активные приверженцы;10166353672;01.07.2017
активные приверженцы;10166353672;01.10.2017
непостоянные приверженцы;10166399104;01.01.2016
активные приверженцы;10166399104;01.04.2016
активные приверженцы;10166399104;01.07.2016
активные приверженцы;10166399104;01.10.2016
активные приверженцы;10166399104;01.01.2017
частичные приверженцы;10166399104;01.04.2017
активные приверженцы;10166399104;01.07.2017
активные приверженцы;10166399104;01.10.2017
активные приверженцы;10176600323;01.01.2016
без предпочтений;10176600323;01.04.2016
активные приверженцы;10176600323;01.07.2016
активные приверженцы;10176600323;01.10.2016
активные приверженцы;10176600323;01.01.2017
активные приверженцы;10176600323;01.04.2017
активные приверженцы;10176600323;01.07.2017
непостоянные приверженцы;10176600323;01.10.2017
непостоянные приверженцы;10178523760;01.01.2016
непостоянные приверженцы;10178523760;01.04.2016
активные приверженцы;10178523760;01.07.2016
активные приверженцы;10178523760;01.10.2016
непостоянные приверженцы;10178523760;01.01.2017
без предпочтений;10178523760;01.04.2017
непостоянные приверженцы;10178523760;01.07.2017
активные приверженцы;10178523760;01.10.2017
непостоянные приверженцы;10178528857;01.01.2016
частичные приверженцы;10178528857;01.04.2016
