Класс;Код Клиента;Квартал
непостоянные приверженцы;1168573839;01.01.2016
активные приверженцы;1168573839;01.04.2016
активные приверженцы;1168573839;01.07.2016
активные приверженцы;1168573839;01.10.2016
активные приверженцы;1168573839;01.01.2017
непостоянные приверженцы;1168573839;01.04.2017
без предпочтений;1168573839;01.07.2017
активные приверженцы;1168573839;01.10.2017
активные приверженцы;1170061931;01.01.2016
активные приверженцы;1170061931;01.04.2016
частичные приверженцы;1170061931;01.07.2016
непостоянные приверженцы;1170061931;01.10.2016
активные приверженцы;1170061931;01.01.2017
без предпочтений;1170061931;01.04.2017
активные приверженцы;1170061931;01.07.2017
активные приверженцы;1170061931;01.10.2017
активные приверженцы;1171910938;01.01.2016
непостоянные приверженцы;1171910938;01.04.2016
без предпочтений;1171910938;01.07.2016
активные приверженцы;1171910938;01.10.2016
активные приверженцы;1171910938;01.01.2017
активные приверженцы;1171910938;01.04.2017
непостоянные приверженцы;1171910938;01.07.2017
активные приверженцы;1171910938;01.10.2017
активные приверженцы;1173543021;01.01.2016
непостоянные приверженцы;1173543021;01.04.2016
активные приверженцы;1173543021;01.07.2016
непостоянные приверженцы;1173543021;01.10.2016
непостоянные приверженцы;1173543021;01.01.2017
активные приверженцы;1173543021;01.04.2017
активные приверженцы;1173543021;01.07.2017
активные приверженцы;1173543021;01.10.2017
активные приверженцы;1173777580;01.01.2016
непостоянные приверженцы;1173777580;01.04.2016
активные приверженцы;1173777580;01.07.2016
частичные приверженцы;1173777580;01.10.2016
активные приверженцы;1173777580;01.01.2017
непостоянные приверженцы;1173777580;01.04.2017
активные приверженцы;1173777580;01.07.2017
активные приверженцы;1173777580;01.10.2017
непостоянные приверженцы;1175301137;01.01.2016
активные приверженцы;1175301137;01.04.2016
активные приверженцы;1175301137;01.07.2016
активные приверженцы;1175301137;01.10.2016
непостоянные приверженцы;1175301137;01.01.2017
без предпочтений;1175301137;01.04.2017
активные приверженцы;1175301137;01.07.2017
непостоянные приверженцы;1175301137;01.10.2017
активные приверженцы;11773690072;01.01.2016
непостоянные приверженцы;11773690072;01.04.2016
активные приверженцы;11773690072;01.07.2016
частичные приверженцы;11773690072;01.10.2016
непостоянные приверженцы;11773690072;01.01.2017
непостоянные приверженцы;11773690072;01.04.2017
частичные приверженцы;11773690072;01.07.2017
непостоянные приверженцы;11773690072;01.10.2017
частичные приверженцы;1180328643;01.01.2016
без предпочтений;1180328643;01.04.2016
активные приверженцы;1180328643;01.07.2016
непостоянные приверженцы;1180328643;01.10.2016
активные приверженцы;1180328643;01.01.2017
непостоянные приверженцы;1180328643;01.04.2017
активные приверженцы;1180328643;01.07.2017
непостоянные приверженцы;1180328643;01.10.2017
активные приверженцы;1181950260;01.01.2016
активные приверженцы;1181950260;01.04.2016
непостоянные приверженцы;1181950260;01.07.2016
непостоянные приверженцы;1181950260;01.10.2016
частичные приверженцы;1181950260;01.01.2017
активные приверженцы;1181950260;01.04.2017
активные приверженцы;1181950260;01.07.2017
непостоянные приверженцы;1181950260;01.10.2017
активные приверженцы;1181957713;01.01.2016
активные приверженцы;1181957713;01.04.2016
активные приверженцы;1181957713;01.07.2016
непостоянные приверженцы;1181957713;01.10.2016
частичные приверженцы;1181957713;01.01.2017
активные приверженцы;1181957713;01.04.2017
активные приверженцы;1181957713;01.07.2017
активные приверженцы;1181957713;01.10.2017
активные приверженцы;1181966129;01.01.2016
активные приверженцы;1181966129;01.04.2016
без предпочтений;1181966129;01.07.2016
активные приверженцы;1181966129;01.10.2016
непостоянные приверженцы;1181966129;01.01.2017
активные приверженцы;1181966129;01.04.2017
непостоянные приверженцы;1181966129;01.07.2017
активные приверженцы;1181966129;01.10.2017
частичные приверженцы;1182967164;01.01.2016
частичные приверженцы;1182967164;01.04.2016
активные приверженцы;1182967164;01.07.2016
активные приверженцы;1182967164;01.10.2016
непостоянные приверженцы;1182967164;01.01.2017
активные приверженцы;1182967164;01.04.2017
непостоянные приверженцы;1182967164;01.07.2017
без предпочтений;1182967164;01.10.2017
активные приверженцы;1185313142;01.01.2016
непостоянные приверженцы;1185313142;01.04.2016
активные приверженцы;1185313142;01.07.2016
активные приверженцы;1185313142;01.10.2016
без предпочтений;1185313142;01.01.2017
непостоянные приверженцы;1185313142;01.04.2017
непостоянные приверженцы;1185313142;01.07.2017
активные приверженцы;1185313142;01.10.2017
активные приверженцы;1185514553;01.01.2016
частичные приверженцы;1185514553;01.04.2016
активные приверженцы;1185514553;01.07.2016
без предпочтений;1185514553;01.10.2016
непостоянные приверженцы;1185514553;01.01.2017
непостоянные приверженцы;1185514553;01.04.2017
непостоянные приверженцы;1185514553;01.07.2017
активные приверженцы;1185514553;01.10.2017
без предпочтений;1185524314;01.01.2016
непостоянные приверженцы;1185524314;01.04.2016
частичные приверженцы;1185524314;01.07.2016
активные приверженцы;1185524314;01.10.2016
без предпочтений;1185524314;01.01.2017
активные приверженцы;1185524314;01.04.2017
активные приверженцы;1185524314;01.07.2017
частичные приверженцы;1185524314;01.10.2017
активные приверженцы;1186456196;01.01.2016
активные приверженцы;1186456196;01.04.2016
без предпочтений;1186456196;01.07.2016
активные приверженцы;1186456196;01.10.2016
активные приверженцы;1186456196;01.01.2017
непостоянные приверженцы;1186456196;01.04.2017
частичные приверженцы;1186456196;01.07.2017
активные приверженцы;1186456196;01.10.2017
непостоянные приверженцы;1187015281;01.01.2016
без предпочтений;1187015281;01.04.2016
активные приверженцы;1187015281;01.07.2016
активные приверженцы;1187015281;01.10.2016
непостоянные приверженцы;1187015281;01.01.2017
активные приверженцы;1187015281;01.04.2017
частичные приверженцы;1187015281;01.07.2017
активные приверженцы;1187015281;01.10.2017
активные приверженцы;1187039569;01.01.2016
частичные приверженцы;1187039569;01.04.2016
активные приверженцы;1187039569;01.07.2016
непостоянные приверженцы;1187039569;01.10.2016
непостоянные приверженцы;1187039569;01.01.2017
активные приверженцы;1187039569;01.04.2017
активные приверженцы;1187039569;01.07.2017
активные приверженцы;1187039569;01.10.2017
непостоянные приверженцы;1190530598;01.01.2016
активные приверженцы;1190530598;01.04.2016
непостоянные приверженцы;1190530598;01.07.2016
непостоянные приверженцы;1190530598;01.10.2016
частичные приверженцы;1190530598;01.01.2017
активные приверженцы;1190530598;01.04.2017
частичные приверженцы;1190530598;01.07.2017
без предпочтений;1190530598;01.10.2017
непостоянные приверженцы;1192287773;01.01.2016
активные приверженцы;1192287773;01.04.2016
непостоянные приверженцы;1192287773;01.07.2016
активные приверженцы;1192287773;01.10.2016
активные приверженцы;1192287773;01.01.2017
частичные приверженцы;1192287773;01.04.2017
непостоянные приверженцы;1192287773;01.07.2017
непостоянные приверженцы;1192287773;01.10.2017
активные приверженцы;1193862452;01.01.2016
активные приверженцы;1193862452;01.04.2016
активные приверженцы;1193862452;01.07.2016
активные приверженцы;1193862452;01.10.2016
активные приверженцы;1193862452;01.01.2017
непостоянные приверженцы;1193862452;01.04.2017
частичные приверженцы;1193862452;01.07.2017
активные приверженцы;1193862452;01.10.2017
активные приверженцы;1193885414;01.01.2016
активные приверженцы;1193885414;01.04.2016
активные приверженцы;1193885414;01.07.2016
непостоянные приверженцы;1193885414;01.10.2016
частичные приверженцы;1193885414;01.01.2017
активные приверженцы;1193885414;01.04.2017
непостоянные приверженцы;1193885414;01.07.2017
без предпочтений;1193885414;01.10.2017
активные приверженцы;1194099440;01.01.2016
непостоянные приверженцы;1194099440;01.04.2016
активные приверженцы;1194099440;01.07.2016
непостоянные приверженцы;1194099440;01.10.2016
непостоянные приверженцы;1194099440;01.01.2017
без предпочтений;1194099440;01.04.2017
непостоянные приверженцы;1194099440;01.07.2017
активные приверженцы;1194099440;01.10.2017
непостоянные приверженцы;1195830587;01.01.2016
без предпочтений;1195830587;01.04.2016
частичные приверженцы;1195830587;01.07.2016
активные приверженцы;1195830587;01.10.2016
активные приверженцы;1195830587;01.01.2017
непостоянные приверженцы;1195830587;01.04.2017
непостоянные приверженцы;1195830587;01.07.2017
активные приверженцы;1195830587;01.10.2017
активные приверженцы;1195835250;01.01.2016
активные приверженцы;1195835250;01.04.2016
активные приверженцы;1195835250;01.07.2016
непостоянные приверженцы;1195835250;01.10.2016
непостоянные приверженцы;1195835250;01.01.2017
непостоянные приверженцы;1195835250;01.04.2017
активные приверженцы;1195835250;01.07.2017
активные приверженцы;1195835250;01.10.2017
непостоянные приверженцы;1195858063;01.01.2016
активные приверженцы;1195858063;01.04.2016
активные приверженцы;1195858063;01.07.2016
активные приверженцы;1195858063;01.10.2016
активные приверженцы;1195858063;01.01.2017
активные приверженцы;1195858063;01.04.2017
непостоянные приверженцы;1195858063;01.07.2017
активные приверженцы;1195858063;01.10.2017
непостоянные приверженцы;1195861521;01.01.2016
частичные приверженцы;1195861521;01.04.2016
активные приверженцы;1195861521;01.07.2016
активные приверженцы;1195861521;01.10.2016
активные приверженцы;1195861521;01.01.2017
непостоянные приверженцы;1195861521;01.04.2017
без предпочтений;1195861521;01.07.2017
активные приверженцы;1195861521;01.10.2017
активные приверженцы;1195958662;01.01.2016
активные приверженцы;1195958662;01.04.2016
частичные приверженцы;1195958662;01.07.2016
активные приверженцы;1195958662;01.10.2016
непостоянные приверженцы;1195958662;01.01.2017
активные приверженцы;1195958662;01.04.2017
непостоянные приверженцы;1195958662;01.07.2017
активные приверженцы;1195958662;01.10.2017
активные приверженцы;1197752422;01.01.2016
активные приверженцы;1197752422;01.04.2016
без предпочтений;1197752422;01.07.2016
активные приверженцы;1197752422;01.10.2016
активные приверженцы;1197752422;01.01.2017
без предпочтений;1197752422;01.04.2017
активные приверженцы;1197752422;01.07.2017
активные приверженцы;1197752422;01.10.2017
непостоянные приверженцы;1202571779;01.01.2016
активные приверженцы;1202571779;01.04.2016
непостоянные приверженцы;1202571779;01.07.2016
непостоянные приверженцы;1202571779;01.10.2016
непостоянные приверженцы;1202571779;01.01.2017
активные приверженцы;1202571779;01.04.2017
активные приверженцы;1202571779;01.07.2017
непостоянные приверженцы;1202571779;01.10.2017
активные приверженцы;1202687032;01.01.2016
без предпочтений;1202687032;01.04.2016
без предпочтений;1202687032;01.07.2016
без предпочтений;1202687032;01.10.2016
активные приверженцы;1202687032;01.01.2017
без предпочтений;1202687032;01.04.2017
активные приверженцы;1202687032;01.07.2017
активные приверженцы;1202687032;01.10.2017
непостоянные приверженцы;1203446696;01.01.2016
непостоянные приверженцы;1203446696;01.04.2016
активные приверженцы;1203446696;01.07.2016
без предпочтений;1203446696;01.10.2016
непостоянные приверженцы;1203446696;01.01.2017
активные приверженцы;1203446696;01.04.2017
активные приверженцы;1203446696;01.07.2017
активные приверженцы;1203446696;01.10.2017
активные приверженцы;1203878598;01.01.2016
активные приверженцы;1203878598;01.04.2016
непостоянные приверженцы;1203878598;01.07.2016
активные приверженцы;1203878598;01.10.2016
без предпочтений;1203878598;01.01.2017
частичные приверженцы;1203878598;01.04.2017
частичные приверженцы;1203878598;01.07.2017
активные приверженцы;1203878598;01.10.2017
без предпочтений;1204056356;01.01.2016
активные приверженцы;1204056356;01.04.2016
непостоянные приверженцы;1204056356;01.07.2016
без предпочтений;1204056356;01.10.2016
активные приверженцы;1204056356;01.01.2017
активные приверженцы;1204056356;01.04.2017
непостоянные приверженцы;1204056356;01.07.2017
активные приверженцы;1204056356;01.10.2017
активные приверженцы;1204375667;01.01.2016
активные приверженцы;1204375667;01.04.2016
активные приверженцы;1204375667;01.07.2016
частичные приверженцы;1204375667;01.10.2016
активные приверженцы;1204375667;01.01.2017
частичные приверженцы;1204375667;01.04.2017
частичные приверженцы;1204375667;01.07.2017
частичные приверженцы;1204375667;01.10.2017
без предпочтений;1205230321;01.01.2016
частичные приверженцы;1205230321;01.04.2016
активные приверженцы;1205230321;01.07.2016
непостоянные приверженцы;1205230321;01.10.2016
активные приверженцы;1205230321;01.01.2017
активные приверженцы;1205230321;01.04.2017
непостоянные приверженцы;1205230321;01.07.2017
активные приверженцы;1205230321;01.10.2017
непостоянные приверженцы;1205286243;01.01.2016
активные приверженцы;1205286243;01.04.2016
активные приверженцы;1205286243;01.07.2016
активные приверженцы;1205286243;01.10.2016
активные приверженцы;1205286243;01.01.2017
активные приверженцы;1205286243;01.04.2017
активные приверженцы;1205286243;01.07.2017
активные приверженцы;1205286243;01.10.2017
активные приверженцы;1205338976;01.01.2016
активные приверженцы;1205338976;01.04.2016
частичные приверженцы;1205338976;01.07.2016
активные приверженцы;1205338976;01.10.2016
без предпочтений;1205338976;01.01.2017
активные приверженцы;1205338976;01.04.2017
непостоянные приверженцы;1205338976;01.07.2017
непостоянные приверженцы;1205338976;01.10.2017
без предпочтений;1207119749;01.01.2016
непостоянные приверженцы;1207119749;01.04.2016
без предпочтений;1207119749;01.07.2016
активные приверженцы;1207119749;01.10.2016
без предпочтений;1207119749;01.01.2017
активные приверженцы;1207119749;01.04.2017
непостоянные приверженцы;1207119749;01.07.2017
активные приверженцы;1207119749;01.10.2017
частичные приверженцы;1210219980;01.01.2016
непостоянные приверженцы;1210219980;01.04.2016
активные приверженцы;1210219980;01.07.2016
активные приверженцы;1210219980;01.10.2016
активные приверженцы;1210219980;01.01.2017
непостоянные приверженцы;1210219980;01.04.2017
активные приверженцы;1210219980;01.07.2017
активные приверженцы;1210219980;01.10.2017
непостоянные приверженцы;1212740658;01.01.2016
непостоянные приверженцы;1212740658;01.04.2016
активные приверженцы;1212740658;01.07.2016
непостоянные приверженцы;1212740658;01.10.2016
без предпочтений;1212740658;01.01.2017
непостоянные приверженцы;1212740658;01.04.2017
без предпочтений;1212740658;01.07.2017
активные приверженцы;1212740658;01.10.2017
активные приверженцы;1212744811;01.01.2016
активные приверженцы;1212744811;01.04.2016
без предпочтений;1212744811;01.07.2016
активные приверженцы;1212744811;01.10.2016
активные приверженцы;1212744811;01.01.2017
непостоянные приверженцы;1212744811;01.04.2017
активные приверженцы;1212744811;01.07.2017
активные приверженцы;1212744811;01.10.2017
активные приверженцы;1212773773;01.01.2016
активные приверженцы;1212773773;01.04.2016
непостоянные приверженцы;1212773773;01.07.2016
непостоянные приверженцы;1212773773;01.10.2016
частичные приверженцы;1212773773;01.01.2017
непостоянные приверженцы;1212773773;01.04.2017
непостоянные приверженцы;1212773773;01.07.2017
активные приверженцы;1212773773;01.10.2017
активные приверженцы;1216884946;01.01.2016
частичные приверженцы;1216884946;01.04.2016
активные приверженцы;1216884946;01.07.2016
активные приверженцы;1216884946;01.10.2016
непостоянные приверженцы;1216884946;01.01.2017
частичные приверженцы;1216884946;01.04.2017
активные приверженцы;1216884946;01.07.2017
активные приверженцы;1216884946;01.10.2017
частичные приверженцы;1216892944;01.01.2016
непостоянные приверженцы;1216892944;01.04.2016
активные приверженцы;1216892944;01.07.2016
непостоянные приверженцы;1216892944;01.10.2016
непостоянные приверженцы;1216892944;01.01.2017
непостоянные приверженцы;1216892944;01.04.2017
непостоянные приверженцы;1216892944;01.07.2017
активные приверженцы;1216892944;01.10.2017
активные приверженцы;1216955311;01.01.2016
непостоянные приверженцы;1216955311;01.04.2016
непостоянные приверженцы;1216955311;01.07.2016
непостоянные приверженцы;1216955311;01.10.2016
активные приверженцы;1216955311;01.01.2017
активные приверженцы;1216955311;01.04.2017
активные приверженцы;1216955311;01.07.2017
активные приверженцы;1216955311;01.10.2017
активные приверженцы;1216956805;01.01.2016
активные приверженцы;1216956805;01.04.2016
без предпочтений;1216956805;01.07.2016
непостоянные приверженцы;1216956805;01.10.2016
активные приверженцы;1216956805;01.01.2017
активные приверженцы;1216956805;01.04.2017
без предпочтений;1216956805;01.07.2017
активные приверженцы;1216956805;01.10.2017
непостоянные приверженцы;1216969183;01.01.2016
без предпочтений;1216969183;01.04.2016
активные приверженцы;1216969183;01.07.2016
активные приверженцы;1216969183;01.10.2016
частичные приверженцы;1216969183;01.01.2017
частичные приверженцы;1216969183;01.04.2017
активные приверженцы;1216969183;01.07.2017
активные приверженцы;1216969183;01.10.2017
активные приверженцы;1216970677;01.01.2016
активные приверженцы;1216970677;01.04.2016
непостоянные приверженцы;1216970677;01.07.2016
непостоянные приверженцы;1216970677;01.10.2016
непостоянные приверженцы;1216970677;01.01.2017
активные приверженцы;1216970677;01.04.2017
активные приверженцы;1216970677;01.07.2017
активные приверженцы;1216970677;01.10.2017
без предпочтений;1216973185;01.01.2016
непостоянные приверженцы;1216973185;01.04.2016
непостоянные приверженцы;1216973185;01.07.2016
непостоянные приверженцы;1216973185;01.10.2016
без предпочтений;1216973185;01.01.2017
непостоянные приверженцы;1216973185;01.04.2017
активные приверженцы;1216973185;01.07.2017
активные приверженцы;1216973185;01.10.2017
непостоянные приверженцы;1217052527;01.01.2016
активные приверженцы;1217052527;01.04.2016
частичные приверженцы;1217052527;01.07.2016
активные приверженцы;1217052527;01.10.2016
без предпочтений;1217052527;01.01.2017
активные приверженцы;1217052527;01.04.2017
непостоянные приверженцы;1217052527;01.07.2017
частичные приверженцы;1217052527;01.10.2017
непостоянные приверженцы;1221067068;01.01.2016
активные приверженцы;1221067068;01.04.2016
частичные приверженцы;1221067068;01.07.2016
активные приверженцы;1221067068;01.10.2016
без предпочтений;1221067068;01.01.2017
активные приверженцы;1221067068;01.04.2017
непостоянные приверженцы;1221067068;01.07.2017
непостоянные приверженцы;1221067068;01.10.2017
активные приверженцы;1230043198;01.01.2016
частичные приверженцы;1230043198;01.04.2016
непостоянные приверженцы;1230043198;01.07.2016
активные приверженцы;1230043198;01.10.2016
непостоянные приверженцы;1230043198;01.01.2017
непостоянные приверженцы;1230043198;01.04.2017
активные приверженцы;1230043198;01.07.2017
активные приверженцы;1230043198;01.10.2017
непостоянные приверженцы;1231119291;01.01.2016
активные приверженцы;1231119291;01.04.2016
активные приверженцы;1231119291;01.07.2016
активные приверженцы;1231119291;01.10.2016
активные приверженцы;1231119291;01.01.2017
без предпочтений;1231119291;01.04.2017
без предпочтений;1231119291;01.07.2017
непостоянные приверженцы;1231119291;01.10.2017
непостоянные приверженцы;1231151184;01.01.2016
активные приверженцы;1231151184;01.04.2016
активные приверженцы;1231151184;01.07.2016
активные приверженцы;1231151184;01.10.2016
активные приверженцы;1231151184;01.01.2017
без предпочтений;1231151184;01.04.2017
активные приверженцы;1231151184;01.07.2017
активные приверженцы;1231151184;01.10.2017
активные приверженцы;1231169746;01.01.2016
непостоянные приверженцы;1231169746;01.04.2016
непостоянные приверженцы;1231169746;01.07.2016
активные приверженцы;1231169746;01.10.2016
непостоянные приверженцы;1231169746;01.01.2017
активные приверженцы;1231169746;01.04.2017
непостоянные приверженцы;1231169746;01.07.2017
непостоянные приверженцы;1231169746;01.10.2017
активные приверженцы;1233125872;01.01.2016
непостоянные приверженцы;1233125872;01.04.2016
без предпочтений;1233125872;01.07.2016
непостоянные приверженцы;1233125872;01.10.2016
частичные приверженцы;1233125872;01.01.2017
непостоянные приверженцы;1233125872;01.04.2017
активные приверженцы;1233125872;01.07.2017
активные приверженцы;1233125872;01.10.2017
непостоянные приверженцы;1233144728;01.01.2016
частичные приверженцы;1233144728;01.04.2016
непостоянные приверженцы;1233144728;01.07.2016
активные приверженцы;1233144728;01.10.2016
активные приверженцы;1233144728;01.01.2017
непостоянные приверженцы;1233144728;01.04.2017
активные приверженцы;1233144728;01.07.2017
непостоянные приверженцы;1233144728;01.10.2017
активные приверженцы;1233731952;01.01.2016
непостоянные приверженцы;1233731952;01.04.2016
непостоянные приверженцы;1233731952;01.07.2016
частичные приверженцы;1233731952;01.10.2016
активные приверженцы;1233731952;01.01.2017
частичные приверженцы;1233731952;01.04.2017
непостоянные приверженцы;1233731952;01.07.2017
непостоянные приверженцы;1233731952;01.10.2017
активные приверженцы;1237747393;01.01.2016
непостоянные приверженцы;1237747393;01.04.2016
непостоянные приверженцы;1237747393;01.07.2016
активные приверженцы;1237747393;01.10.2016
непостоянные приверженцы;1237747393;01.01.2017
активные приверженцы;1237747393;01.04.2017
непостоянные приверженцы;1237747393;01.07.2017
непостоянные приверженцы;1237747393;01.10.2017
активные приверженцы;1237757785;01.01.2016
без предпочтений;1237757785;01.04.2016
частичные приверженцы;1237757785;01.07.2016
активные приверженцы;1237757785;01.10.2016
без предпочтений;1237757785;01.01.2017
активные приверженцы;1237757785;01.04.2017
активные приверженцы;1237757785;01.07.2017
без предпочтений;1237757785;01.10.2017
непостоянные приверженцы;1238368602;01.01.2016
частичные приверженцы;1238368602;01.04.2016
непостоянные приверженцы;1238368602;01.07.2016
частичные приверженцы;1238368602;01.10.2016
активные приверженцы;1238368602;01.01.2017
непостоянные приверженцы;1238368602;01.04.2017
частичные приверженцы;1238368602;01.07.2017
активные приверженцы;1238368602;01.10.2017
активные приверженцы;1238930673;01.01.2016
непостоянные приверженцы;1238930673;01.04.2016
частичные приверженцы;1238930673;01.07.2016
непостоянные приверженцы;1238930673;01.10.2016
активные приверженцы;1238930673;01.01.2017
непостоянные приверженцы;1238930673;01.04.2017
непостоянные приверженцы;1238930673;01.07.2017
непостоянные приверженцы;1238930673;01.10.2017
активные приверженцы;1239095303;01.01.2016
активные приверженцы;1239095303;01.04.2016
активные приверженцы;1239095303;01.07.2016
непостоянные приверженцы;1239095303;01.10.2016
непостоянные приверженцы;1239095303;01.01.2017
активные приверженцы;1239095303;01.04.2017
активные приверженцы;1239095303;01.07.2017
непостоянные приверженцы;1239095303;01.10.2017
частичные приверженцы;1239206451;01.01.2016
активные приверженцы;1239206451;01.04.2016
частичные приверженцы;1239206451;01.07.2016
активные приверженцы;1239206451;01.10.2016
непостоянные приверженцы;1239206451;01.01.2017
непостоянные приверженцы;1239206451;01.04.2017
активные приверженцы;1239206451;01.07.2017
активные приверженцы;1239206451;01.10.2017
активные приверженцы;1239206754;01.01.2016
активные приверженцы;1239206754;01.04.2016
без предпочтений;1239206754;01.07.2016
непостоянные приверженцы;1239206754;01.10.2016
активные приверженцы;1239206754;01.01.2017
активные приверженцы;1239206754;01.04.2017
непостоянные приверженцы;1239206754;01.07.2017
активные приверженцы;1239206754;01.10.2017
непостоянные приверженцы;1239209421;01.01.2016
непостоянные приверженцы;1239209421;01.04.2016
активные приверженцы;1239209421;01.07.2016
активные приверженцы;1239209421;01.10.2016
активные приверженцы;1239209421;01.01.2017
активные приверженцы;1239209421;01.04.2017
непостоянные приверженцы;1239209421;01.07.2017
активные приверженцы;1239209421;01.10.2017
частичные приверженцы;1240879071;01.01.2016
активные приверженцы;1240879071;01.04.2016
непостоянные приверженцы;1240879071;01.07.2016
частичные приверженцы;1240879071;01.10.2016
частичные приверженцы;1240879071;01.01.2017
активные приверженцы;1240879071;01.04.2017
активные приверженцы;1240879071;01.07.2017
непостоянные приверженцы;1240879071;01.10.2017
непостоянные приверженцы;1242779469;01.01.2016
активные приверженцы;1242779469;01.04.2016
без предпочтений;1242779469;01.07.2016
активные приверженцы;1242779469;01.10.2016
частичные приверженцы;1242779469;01.01.2017
без предпочтений;1242779469;01.04.2017
активные приверженцы;1242779469;01.07.2017
активные приверженцы;1242779469;01.10.2017
активные приверженцы;1245236489;01.01.2016
активные приверженцы;1245236489;01.04.2016
непостоянные приверженцы;1245236489;01.07.2016
активные приверженцы;1245236489;01.10.2016
активные приверженцы;1245236489;01.01.2017
активные приверженцы;1245236489;01.04.2017
активные приверженцы;1245236489;01.07.2017
активные приверженцы;1245236489;01.10.2017
непостоянные приверженцы;1245249251;01.01.2016
активные приверженцы;1245249251;01.04.2016
активные приверженцы;1245249251;01.07.2016
активные приверженцы;1245249251;01.10.2016
непостоянные приверженцы;1245249251;01.01.2017
активные приверженцы;1245249251;01.04.2017
без предпочтений;1245249251;01.07.2017
частичные приверженцы;1245249251;01.10.2017
активные приверженцы;1250843201;01.01.2016
частичные приверженцы;1250843201;01.04.2016
непостоянные приверженцы;1250843201;01.07.2016
без предпочтений;1250843201;01.10.2016
активные приверженцы;1250843201;01.01.2017
активные приверженцы;1250843201;01.04.2017
активные приверженцы;1250843201;01.07.2017
активные приверженцы;1250843201;01.10.2017
непостоянные приверженцы;1263098204;01.01.2016
без предпочтений;1263098204;01.04.2016
непостоянные приверженцы;1263098204;01.07.2016
частичные приверженцы;1263098204;01.10.2016
активные приверженцы;1263098204;01.01.2017
частичные приверженцы;1263098204;01.04.2017
непостоянные приверженцы;1263098204;01.07.2017
непостоянные приверженцы;1263098204;01.10.2017
активные приверженцы;1263457895;01.01.2016
непостоянные приверженцы;1263457895;01.04.2016
непостоянные приверженцы;1263457895;01.07.2016
непостоянные приверженцы;1263457895;01.10.2016
без предпочтений;1263457895;01.01.2017
активные приверженцы;1263457895;01.04.2017
непостоянные приверженцы;1263457895;01.07.2017
непостоянные приверженцы;1263457895;01.10.2017
непостоянные приверженцы;1264965134;01.01.2016
непостоянные приверженцы;1264965134;01.04.2016
активные приверженцы;1264965134;01.07.2016
активные приверженцы;1264965134;01.10.2016
без предпочтений;1264965134;01.01.2017
активные приверженцы;1264965134;01.04.2017
активные приверженцы;1264965134;01.07.2017
активные приверженцы;1264965134;01.10.2017
активные приверженцы;1265762010;01.01.2016
непостоянные приверженцы;1265762010;01.04.2016
активные приверженцы;1265762010;01.07.2016
без предпочтений;1265762010;01.10.2016
активные приверженцы;1265762010;01.01.2017
непостоянные приверженцы;1265762010;01.04.2017
частичные приверженцы;1265762010;01.07.2017
активные приверженцы;1265762010;01.10.2017
активные приверженцы;1266208688;01.01.2016
активные приверженцы;1266208688;01.04.2016
непостоянные приверженцы;1266208688;01.07.2016
активные приверженцы;1266208688;01.10.2016
непостоянные приверженцы;1266208688;01.01.2017
без предпочтений;1266208688;01.04.2017
активные приверженцы;1266208688;01.07.2017
непостоянные приверженцы;1266208688;01.10.2017
активные приверженцы;1271361228;01.01.2016
активные приверженцы;1271361228;01.04.2016
частичные приверженцы;1271361228;01.07.2016
частичные приверженцы;1271361228;01.10.2016
активные приверженцы;1271361228;01.01.2017
активные приверженцы;1271361228;01.04.2017
активные приверженцы;1271361228;01.07.2017
активные приверженцы;1271361228;01.10.2017
непостоянные приверженцы;1271528594;01.01.2016
активные приверженцы;1271528594;01.04.2016
активные приверженцы;1271528594;01.07.2016
активные приверженцы;1271528594;01.10.2016
активные приверженцы;1271528594;01.01.2017
без предпочтений;1271528594;01.04.2017
без предпочтений;1271528594;01.07.2017
частичные приверженцы;1271528594;01.10.2017
активные приверженцы;1274956155;01.01.2016
непостоянные приверженцы;1274956155;01.04.2016
активные приверженцы;1274956155;01.07.2016
непостоянные приверженцы;1274956155;01.10.2016
активные приверженцы;1274956155;01.01.2017
активные приверженцы;1274956155;01.04.2017
активные приверженцы;1274956155;01.07.2017
частичные приверженцы;1274956155;01.10.2017
активные приверженцы;1275364176;01.01.2016
активные приверженцы;1275364176;01.04.2016
непостоянные приверженцы;1275364176;01.07.2016
активные приверженцы;1275364176;01.10.2016
непостоянные приверженцы;1275364176;01.01.2017
активные приверженцы;1275364176;01.04.2017
активные приверженцы;1275364176;01.07.2017
активные приверженцы;1275364176;01.10.2017
непостоянные приверженцы;1276767042;01.01.2016
активные приверженцы;1276767042;01.04.2016
активные приверженцы;1276767042;01.07.2016
непостоянные приверженцы;1276767042;01.10.2016
активные приверженцы;1276767042;01.01.2017
непостоянные приверженцы;1276767042;01.04.2017
активные приверженцы;1276767042;01.07.2017
непостоянные приверженцы;1276767042;01.10.2017
частичные приверженцы;1276836348;01.01.2016
активные приверженцы;1276836348;01.04.2016
без предпочтений;1276836348;01.07.2016
активные приверженцы;1276836348;01.10.2016
непостоянные приверженцы;1276836348;01.01.2017
частичные приверженцы;1276836348;01.04.2017
непостоянные приверженцы;1276836348;01.07.2017
непостоянные приверженцы;1276836348;01.10.2017
активные приверженцы;1277295494;01.01.2016
частичные приверженцы;1277295494;01.04.2016
частичные приверженцы;1277295494;01.07.2016
без предпочтений;1277295494;01.10.2016
активные приверженцы;1277295494;01.01.2017
